Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Employment in Services(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Female Employment in Services(%),Unemployment(%),Female Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Agriculture value added(%),Industry value added(%),Services value added(%),Expense(% of GDP),GDP per capita,GDP growth rate,Foreign Direct Investment,Exports of goods and services,Imports of goods and services,Male life expectancy,Female life expectancy,Inflation rate,Year,Country
1345035000.0,656802304.0,688232696.0,13.27,7.14,9.0,29.5001308375219,34.7997902925858,35.7000788698922,30.9512763064819,28.9617528049188,40.0869705907842,4.55,3.947,7551545703440.75,3.96110578678591,-70377052202.2806,693054720859.57,9.17765379535199,46.5292894700168,44.2930567346312,,5614.38602225277,9.55083217877568,280072219149.935,26.5681893451605,24.1727152412604,73.368,78.644,5.55389892257493,2011.0,China
1337705000.0,653271088.0,684433912.0,11.9,7.11,9.0,28.6998225784778,36.7006106452372,34.5995666423211,32.973865370946,28.3788015819986,38.6473330470553,4.53,3.929,6087191746679.49,7.7162625392142,-26072016562.4143,567641401087.608,9.32517694053669,46.4978311381926,44.1769919215134,,4550.47394356715,10.6358710644913,243703434558.178,27.1853327204051,23.5317449422952,73.08,78.326,3.17532475269199,2010.0,China
1331260000.0,650200886.0,681059114.0,11.95,7.08,9.0,27.8001239413266,38.0998850044352,34.0999910542382,34.4070008240943,27.7071360563145,37.8858631195912,4.72,4.095,5101691124285.21,11.8831983499559,-8532060937.29323,491608421109.181,9.63618551442703,45.9571472862473,44.4066671993256,,3832.2274569094,9.39872563259674,131057052869.5,24.7499139061302,20.4350623009177,72.831,78.066,-0.728165250932898,2009.0,China
1324655000.0,647064821.0,677590179.0,12.14,7.06,9.0,27.1998200006042,39.600068544901,33.2001114544947,35.9434726659464,27.3484705105723,36.7080568234813,4.59,3.983,4594336785737.67,5.48707836061895,28565408672.6136,467200306030.448,10.1690478477936,46.9711723611155,42.8597797907776,,3468.32706307504,9.65067891939361,171534650311.569,32.6025028810906,25.0098393604755,72.389,77.562,5.92525137041092,2008.0,China
1317885000.0,643867508.0,674017492.0,12.1,6.93,9.0,26.7999628550146,40.8000422770903,32.3999948678951,37.2035942238082,27.1968294016307,35.5995760727932,4.35,3.775,3550327802998.4,14.087325638997,8040627341.42952,363772471597.885,10.2461657566004,46.8841692340036,42.869665009396,,2693.95873160283,14.2308609331955,156249335203.202,35.4349475807119,26.7586775044594,72.248,77.492,4.81676767378834,2007.0,China
1311020000.0,640622204.0,670397796.0,12.09,6.81,9.0,25.199391892894,42.6004959543781,32.2001121527279,39.1318022307129,25.6747255231305,35.1934722461565,4.43,3.846,2752118657184.02,13.1412878950767,-5142328315.58984,292433537954.393,10.6257605278405,47.5573975653221,41.8168419068374,,2099.2194300499,12.7209556654032,124082035618.506,36.0351972897845,28.4439939103899,72.043,77.167,1.6494309945586,2006.0,China
1303720000.0,637153944.0,666566056.0,12.4,6.51,9.0,23.8000187537425,44.8001927772218,31.3997884690357,41.4539188664052,24.3675926950175,34.1784884385773,4.52,3.925,2285961149879.85,11.4926805862263,-16108656877.6873,266120066748.699,11.6414956029627,47.0225784802473,41.3359259167899,,1753.41419160544,11.3945918098927,104108693867.085,33.829927750047,28.3780941731833,71.619,76.819,1.77641407667571,2005.0,China
1296075000.0,633528006.0,662546994.0,12.29,6.42,9.0,22.4994614622706,46.900247591302,30.6002909464274,43.6440137648388,23.1577858342361,33.198200400925,4.49,3.9,1955346768721.39,9.46634797299244,-5131609845.398,252565262557.358,12.916648166837,45.9002116666747,41.1831401664883,,1508.66791560781,10.1136213776263,68117272181.2194,31.0613413353482,28.4441900780444,71.275,76.433,3.82463743108159,2004.0,China
1288400000.0,629897770.0,658502230.0,12.41,6.4,9.0,21.6000325434869,49.0994899748136,29.3004774816994,46.2875172540099,22.2194595612688,31.4930231847213,4.58,3.979,1660280543846.79,10.4141240095012,-10218442819.5742,205028027179.291,12.3489989652141,45.622784849177,42.0282161856089,,1288.63749134336,10.0380304810393,57900937467.3864,26.9808771439925,24.82334243075,70.91,76.044,1.12760348729637,2003.0,China
1280400000.0,626113148.0,654286852.0,12.86,6.41,9.0,21.4001092305534,49.9999999284355,28.599890841011,47.0811431055542,22.2684458630799,30.650410716187,4.24,3.684,1470557654799.95,10.5554917847453,-14945225763.5264,195606045760.537,13.3014877126424,44.4505675337902,42.247944754389,,1148.51425710711,9.13363078966614,53073618897.4036,22.6446280317419,20.1025535239991,70.538,75.64,-0.731970902350244,2002.0,China
1271850000.0,622066985.0,649783015.0,13.38,6.43,9.0,22.2999574138844,49.999999783376,27.7000426583236,46.7176760762902,23.6637404465691,29.6185831595619,3.8,3.303,1339400897105.11,9.61003229805601,-19173100885.4826,187294606797.963,13.9834613522186,44.7934123391013,41.2231263086801,,1053.11231442789,8.33573347817196,47053000000.0,20.312067216126,18.21514310996,70.162,75.258,0.719125609120114,2001.0,China
1262645000.0,617713943.0,644931057.0,14.03,6.45,9.0,23.023356315873,49.9357644361384,27.0408792479886,46.2963651455283,24.8472888090941,28.8563460453776,3.26,2.834,1211331651866.09,7.35918784614016,-14665356953.3819,177777960474.501,14.6762416552585,45.5361031777126,39.7876551670289,,959.360431369138,8.49009340597647,42095300000.0,20.8937072974529,18.5173265975939,69.723,74.189,0.347811226864587,2000.0,China
1344976.0,667374.0,677602.0,,,10.0,16.2564491527543,2.37476071802651,81.3686512137049,0.766131354994406,7.01190580859146,92.2219628364141,6.098,6.172,33886930712.3394,,-3242699277.7129,399555598.80628,1.17908465124222,10.4941708818085,76.6457001628175,,36551.41796875,2.61190090914745,-8942336964.35326,97.0188279262,95.7680936007986,,,3.54134188751663,2023.0,Cyprus
1331370.0,660545.0,670825.0,10.023,6.971,10.0,17.1567388953077,2.37338223646671,80.4698788682255,0.864316878028925,7.38803312260707,91.7479679967437,6.806,7.789,30976176886.8521,,-2454909522.08453,364270490.215075,1.17596981559622,10.3157797831982,77.1374633312575,34.7515942240545,33938.9453125,7.36562252428676,480194908.40874,102.228352655371,99.008853123131,80.068,83.673,8.39548297993334,2022.0,Cyprus
1317309.0,653366.0,663943.0,10.313,7.257,10.0,17.915479875251,2.85329641419976,79.2312237105493,1.18071498852083,6.98722217252883,91.8320628389503,7.513,8.028,30372874319.6285,4.38740921363782,-2690182307.62134,456349778.9458,1.50249124973623,11.4803600907365,75.7897589349692,38.8572342231137,33734.29296875,11.3877633552,7723854390.05685,90.7571404656286,86.0692467388053,79.209,83.204,2.44608867175474,2021.0,Cyprus
